ORG_row,ORGID,Industry,Threats,TTP_input,MatchHow,TechniqueID,TechniqueName,TacticsCSV
36,37,Data Breach,Insider Threat;Web Shell;Data Breach,Signed Binary Proxy Execution,alias_id,T1218,System Binary Proxy Execution,defense-evasion
37,38,Insider Threat,Web Shell;Supply Chain;DDoS,Data Exfiltration Over Web Service,alias_id,T1567.002,Exfiltration to Cloud Storage,exfiltration
37,38,Insider Threat,Web Shell;Supply Chain;DDoS,Masquerading,name_exact,T1036,Masquerading,defense-evasion
37,38,Insider Threat,Web Shell;Supply Chain;DDoS,Network Service Scanning,alias_id,T1046,Network Service Discovery,discovery
37,38,Insider Threat,Web Shell;Supply Chain;DDoS,Scheduled Task/Job,alias_id,T1053,Scheduled Task/Job,"execution,persistence,privilege-escalation"
37,38,Insider Threat,Web Shell;Supply Chain;DDoS,Persistence,name_contains,T1070.009,Clear Persistence,defense-evasion
37,38,Insider Threat,Web Shell;Supply Chain;DDoS,Windows Management Instrumentation,alias_id,T1047,Windows Management Instrumentation,execution
37,38,Insider Threat,Web Shell;Supply Chain;DDoS,Service Stop,alias_id,T1489,Service Stop,impact
37,38,Insider Threat,Web Shell;Supply Chain;DDoS,Execution,name_contains,T1548.004,Elevated Execution with Prompt,"privilege-escalation,defense-evasion"
38,39,Web Shell,Web Shell;Crypto Miner;Banking Trojan,Data Staged,alias_id,T1074,Data Staged,collection
38,39,Web Shell,Web Shell;Crypto Miner;Banking Trojan,Rootkit,name_exact,T1014,Rootkit,defense-evasion
38,39,Web Shell,Web Shell;Crypto Miner;Banking Trojan,Obfuscated Files or Information,name_exact,T1027,Obfuscated Files or Information,defense-evasion
38,39,Web Shell,Web Shell;Crypto Miner;Banking Trojan,Process Injection,name_exact,T1055,Process Injection,"defense-evasion,privilege-escalation"
38,39,Web Shell,Web Shell;Crypto Miner;Banking Trojan,Discovery,name_contains,T1033,System Owner/User Discovery,discovery
38,39,Web Shell,Web Shell;Crypto Miner;Banking Trojan,Valid Accounts,alias_id,T1078,Valid Accounts,"defense-evasion,persistence,privilege-escalation,initial-access"
38,39,Web Shell,Web Shell;Crypto Miner;Banking Trojan,Exfiltration,name_contains,T1567,Exfiltration Over Web Service,exfiltration
39,40,Insider Threat,Web Shell;Remote Access Trojan;Crypto Miner,Command and Scripting Interpreter,alias_id,T1059,Command and Scripting Interpreter,execution
39,40,Insider Threat,Web Shell;Remote Access Trojan;Crypto Miner,Boot or Logon Autostart Execution,name_exact,T1547,Boot or Logon Autostart Execution,"persistence,privilege-escalation"
39,40,Insider Threat,Web Shell;Remote Access Trojan;Crypto Miner,Valid Accounts,alias_id,T1078,Valid Accounts,"defense-evasion,persistence,privilege-escalation,initial-access"
39,40,Insider Threat,Web Shell;Remote Access Trojan;Crypto Miner,Unsecured Credentials,name_exact,T1552,Unsecured Credentials,credential-access
39,40,Insider Threat,Web Shell;Remote Access Trojan;Crypto Miner,Process Injection,name_exact,T1055,Process Injection,"defense-evasion,privilege-escalation"
